MDS_Building_ID,Building_Name,Building_TYPE_NM,Building_State_Code,County - State,Parent_Building_ID,Parent_Building_Name,Building_Enrollment,ORGN_ID,ORGN_NM,Learners # Reading,Learners # Registered,Learners # RWF,DateAddedToAcct,IsOrgnActive,ACCT_ID,EXPIRE_DT,Acct_nm,MBR_STS_TYPE_NM,GRANT_IND,ACCT_ENTL_TYPE_NM,Seats_Purchased,TEST_ACCT_IND,Is Cust,LOWGRADE,HIGHGRADE,PK,K-2 Grade,3-5 Grade,6-8 Grade,9-12 Grade,ZIPMETRO,Sch EASI 1-8,Dis EASI 1-8,PRI Rank,County Rating 1-8,ESP,Reading 3 Ptile,Reading 4 Ptile,Reading 5 Ptile,Reading 6 Ptile,Reading 7 Ptile,Reading 8 Ptile,Health,Dist Health,Marketing Eng Score,Score,Ptile Rank
61335,Fremont Christian School,Private Schools,CA,"ALAMEDA, CA",,,1200,136209,FREMONT CHRISTIAN SCHOOL,,,,,FALSE,1,,Community Only,Enrolled,FALSE,Community Only,,FALSE,0,PK,12,1,1,1,1,1,S,6,,,8,,,,,,,,,,,,
67432,Valley Christian Jshs,Private Schools,CA,"ALAMEDA, CA",,,555,138448,VALLEY CHRISTIAN JSHS,,,,,FALSE,1,,Community Only,Enrolled,FALSE,Community Only,,FALSE,0,PK,12,1,1,1,1,1,S,7,,,8,,,,,,,,,,,,
86585,Diocese Of Oakland Ed Office,Diocesan Offices,CA,"ALAMEDA, CA",,,17000,13624,DIOCESE OF OAKLAND ED OFFICE,,,,10/4/16 15:57,FALSE,246670,12/31/19 0:00,HOLY NAMES HIGH SCHOOL,Enrolled,FALSE,Site License,,FALSE,0,PK,12,1,1,1,1,1,U,,,,8,3,,,,,,,,,,,
96859,Quarry Lane School,Private Schools,CA,"ALAMEDA, CA",,,200,139166,QUARRY LANE SCHOOL,,,,,FALSE,1,,Community Only,Enrolled,FALSE,Community Only,,FALSE,0,PK,12,1,1,1,1,1,S,6,,,8,,,,,,,,,,,,
14065,Muhammed University Of Islam,Private Schools,CA,"ALAMEDA, CA",,,161,150049,MUHAMMED UNIVERSITY OF ISLAM,,,,,FALSE,1,,Community Only,Enrolled,FALSE,Community Only,,FALSE,0,K,12,0,1,1,1,1,U,3,,,8,,,,,,,,,,,,
15466,Nea Community Learning Center,Public Schools,CA,"ALAMEDA, CA",20362,Alameda Unified School District,528,,,,,,,,,,,,,,,,0,K,12,0,1,1,1,1,S,5,4,5,8,4,1,1,1,-1,-2,1,,,6,,
24913,Union City Christian Academy,Private Schools,CA,"ALAMEDA, CA",,,79,147496,UNION CITY CHRISTIAN ACADEMY,,,,,FALSE,1,,Community Only,Enrolled,FALSE,Community Only,,FALSE,0,K,12,0,1,1,1,1,S,6,,,8,,,,,,,,,,,,
29189,Sojourner Truth Independent Study/Elp,Public Schools,CA,"ALAMEDA, CA",29915,Oakland Usd High School Area,317,,,,,,,,,,,,,,,,0,K,12,0,1,1,1,1,U,5,4,,8,,,,,,,,,,,,
32877,Decoto School For Independent Study,Public Schools,CA,"ALAMEDA, CA",104682,New Haven Unified School District,130,,,,,,,,,,,,,,,,0,K,12,0,1,1,1,1,S,3,3,,8,,,,,,,,,,,,
39527,Patten Academy,Private Schools,CA,"ALAMEDA, CA",,,151,132622,PATTEN ACADEMY,,,,,FALSE,1,,Community Only,Enrolled,FALSE,Community Only,,FALSE,0,K,12,0,1,1,1,1,U,3,,,8,,,,,,,,,,,,
40187,Ca Connections Acad-North Bay,Public Schools,CA,"ALAMEDA, CA",112425,Middletown Unified School District,400,,,,,,,,,,,,,,,,0,K,12,0,1,1,1,1,S,5,5,,8,,,,,,,,,,,,
50435,Clara Mohammad School,Private Schools,CA,"ALAMEDA, CA",,,37,151651,CLARA MOHAMMAD SCHOOL,,,,,FALSE,1,,Community Only,Enrolled,FALSE,Community Only,,FALSE,0,K,12,0,1,1,1,1,U,2,,,8,,,,,,,,,,,,
63031,St Andrew Baptist School,Private Schools,CA,"ALAMEDA, CA",,,45,136666,ST ANDREW BAPTIST SCHOOL,,,,,FALSE,1,,Community Only,Enrolled,FALSE,Community Only,,FALSE,0,K,12,0,1,1,1,1,U,5,,,8,,,,,,,,,,,,
