School,AVID,Disabilities,Dyslexia mentioned,File Name,Gen Ed,Orton-Gillingham,Other,Reading Specialist,Resource Specialist,Socioeconomically Disadvantaged
Los Perales Elementary School/Los Perales Elementary School,No,100.00,No,07617476003933.pdf,82.47,No,"['Resource Specialist', 'Special Education', 'Professional Development', 'professional development', 'instruction', 'RtI ', 'PALS ']",No,['1.0'],['1.9']
Los Alamitos Elementary School/Los Alamitos Elementary School,No,87.50,No,30739246029060.pdf,81.34,No,"['Resource Specialist', 'Special Education', 'Professional Development', 'training', 'professional development', 'workshops', 'instruction', 'RtI ', ' Writers Workshop']",No,['1.0'],['28.4']
Del Rey Elementary School/Del Rey Elementary School,No,100.00,No,10624146007116.pdf,48.61,No,"['Instructional coach', 'Resource Specialist', 'Professional Development', 'training', 'professional development', 'workshops', 'instruction', 'Balanced Literacy ', 'RtI ', 'Balanced Literacy ', 'Close Reading']",Yes,"['3.0', '.1']",['92.9']
Lincoln Elementary School/Lincoln Elementary School,No,5.00,No,19649076021893.pdf,38.54,No,"['Resource Specialist', 'Professional Development', 'training', 'professional development', 'workshops', 'instruction', 'MTSS', 'RtI ', 'MTSS', 'Close Reading', 'Imagine Learning ', 'WICOR', 'Accelerated Reader']",No,['.5'],['97.8']
Wildwood Elementary School/Wildwood Elementary School,No,92.59,No,56737596084933.pdf,75.59,No,"['Resource Specialist', 'Special Education', 'Professional Development', 'training', 'professional development', 'workshops', 'instruction', 'RtI ', 'SEAL ', 'Structured']",No,['0.8'],['15.0']
David Lubin Elementary School/David Lubin Elementary School,No,28.21,No,34674396033880.pdf,63.83,No,"['Instructional assistant', 'Resource Specialist', 'Professional Development', 'professional development', 'instruction', 'AVID', 'RtI ', 'SEAL ']",No,['2.7'],['46.4']
Crowell Elementary School/Crowell Elementary,No,12.00,No,50757396053151.pdf,27.93,No,"['Intervention teacher', 'Instructional coaches', 'Instructional coach', 'Resource Specialist', 'Special Education', 'Professional Development', 'training', 'professional development', 'workshops', 'instruction', 'AVID', 'RtI ']",Yes,['1.0'],['87.6']
Olinda Elementary School/Olinda Elementary School,No,100.00,No,07617966004899.pdf,47.88,No,"['Resource Specialist', 'Professional Development', 'training', 'professional development', 'workshops', 'instruction', 'RtI ', 'PALS ', 'Phonics', 'Phonics']",No,Unknown,['33.4']
Wilson Elementary/Wilson Elementary,No,4.76,No,39686766042824.pdf,31.25,No,"['Resource Specialist', 'Professional Development', 'training', 'professional development', 'instruction', 'RtI ']",No,['.3'],['80.6']
19646670123174.pdf,No,Unknown,No,19646670123174.pdf,Unknown,No,[],No,['0.50'],['84.10']
Valley Elementary School/Valley Elementary School,No,100.00,No,37682966039010.pdf,51.25,No,"['Resource Specialist', 'Special Education', 'Professional Development', 'training', 'professional development', 'workshops', 'instruction', 'RtI ']",No,['1.0'],['46.8']
Cole Elementary School/Elementary,Yes,21.21,No,10621176005847.pdf,452.2,No,"['Resource Specialist', 'Professional Development', 'training', 'professional development', 'workshops', 'instruction', 'AVID', 'AVID strategies', 'individual support', 'RtI ', 'PALS ', 'AVID strategies ', 'Structured']",No,['5.0'],['58.3']
Norma Harrington Elementary School/Norma Harrington Elementary School,No,3.77,No,56725386055297.pdf,30.29,No,"['Reading Specialist', 'Reading Specialist', 'Resource Specialist', 'Professional Development', 'training', 'professional development', 'workshops', 'instruction', 'RtI ', 'Structured']",Yes,Unknown,['82.3']
French Valley Elementary School/French Valley Elementary School,No,32.95,No,33751920101097.pdf,66.82,No,"['Resource Specialist', 'Special Education', 'Professional Development', 'training', 'professional development', 'instruction', 'RtI ', 'PALS ']",No,['2.0'],['30.4']
French Valley Elementary School,,,,30665226028732.pdf,,,,,,
Valley View Elementary School/Valley View Elementary School,Yes,8.00,No,33669776108104.pdf,97.5,No,"['Reading interventions', 'Resource Specialist', 'Special Education', 'Professional Development', 'training', 'professional development', 'workshops', 'instruction', 'AVID', 'AVID strategies', 'MTSS', 'RtI ', 'MTSS', 'Imagine Learning ', 'AVID strategies ']",No,['1.0'],['76.9']
knowledge to attend/Vice President Avalon Elementary School,Yes,28.21,No,33752420109124.pdf,50.16,No,"['Resource Specialist', 'General education teachers', 'Special Education', 'Professional Development', 'training', 'professional development', 'workshops', 'instruction', 'AVID', 'Small groups', 'Differentiated instruction', 'individual support', 'Screening', 'Reading strategies ', 'RtI ', 'Differentiated instruction', 'IStation', 'Accelerated Reader', 'Structured']",No,Unknown,"['98.86', '1.14', '58.08', '98.10', '1.90', '46.30']"
Del Vista Math & Science Academy,No,100.00,No,15634046009369.pdf,39.13,No,"['Resource Specialist', 'Special Education', 'Professional Development', 'training', 'professional development', 'instruction', 'MTSS', 'RtI ', 'MTSS']",No,['2.0'],['86.1']
Los Altos Elementary School/Los Altos Elementary,No,0.00,No,19650376022842.pdf,34.21,No,"['Instructional coaches', 'Instructional coach', 'Instructional assistant', 'Resource Specialist', 'Special Education', 'Professional Development', 'professional development', 'workshops', 'instruction', 'RtI ', 'PALS ']",No,Unknown,[]
Maywood Middle School / DaVinci Academy,Yes,5.45,No,52714986093546.pdf,38.85,No,"['Resource Specialist', 'Professional Development', 'professional development', 'instruction', 'AVID', 'RtI ', 'iReady']",No,Unknown,['80.0']
Valle Verde Elementary School/Valle Verde Elementary School,No,26.09,No,07617546004345.pdf,66.67,No,"['training', 'workshops', 'instruction', 'RtI ']",No,Unknown,['9.7']
Valle Verde Elementary School,,,,04614576003131.pdf,,,,,,
Lopez Elementary School/Lopez Elementary School,No,100.00,No,19649070111047.pdf,39.81,No,"['Literacy Coach', 'Literacy Coaches', 'Resource Specialist', 'Professional Development', 'training', 'professional development', 'workshops', 'instruction', 'Differentiated instruction', 'MTSS', 'RtI ', 'MTSS', 'Differentiated instruction', 'Close Reading', 'WICOR']",Yes,['.5'],['98.8']
Marin Elementary/Marin Elementary School,No,97.14,No,01611276095376.pdf,80.83,No,"['Intervention teacher', 'Resource Specialist', 'Professional Development', 'professional development', 'instruction', 'RtI ']",Yes,Unknown,['16.5']
Twila Reid School/District Name Savanna Elementary School District,No,15.91,No,30666966030506.pdf,51.75,No,"['Resource Specialist', 'Professional Development', 'training', 'professional development', 'workshops', 'instruction', 'Differentiated instruction', 'RtI ', 'Differentiated instruction', 'iReady']",No,Unknown,['75.2']
Gauldin Elementary School/Gauldin Elementary,No,11.90,No,19644516012736.pdf,40.68,No,"['Special Education', 'Professional Development', 'professional development', 'instruction', 'Balanced Literacy ', 'Guided Reading', 'RtI ', 'Balanced Literacy ']",No,['1.0'],['87.6']
William Anderson Elementary School/William Anderson Elementary School,No,96.23,No,19646916014831.pdf,51.03,No,"['Instructional assistant', 'Resource Specialist', 'Professional Development', 'training', 'professional development', 'workshops', 'instruction', 'mentoring program', 'RtI ', 'PALS ', 'Structured']",No,"['4.0', '.1']",['86.3']
Mission Avenue Open Elementary School/Mission Avenue Open Elementary School,No,100.00,No,34674476034730.pdf,54.70,No,"['Resource Specialist', 'Professional Development', 'training', 'professional development', 'instruction', 'Guided Reading', 'RtI ', 'Structured']",No,Unknown,['23.8']
Maxine Hong Kingston Elementary/Elementary,Yes,14.52,No,39686760111328.pdf,27.90,No,"['Resource Specialist', 'Professional Development', 'professional development', 'instruction', 'AVID', 'RtI ', 'PALS ']",No,Unknown,['72.2']
Sutter's Mill School,No,57.14,No,09618876110167.pdf,61.67,No,"['Resource Specialist', 'Special Education', 'Professional Development', 'training', 'professional development', 'workshops', 'instruction', 'RtI ']",No,['1.25'],['29.4']
Pine Hill Elementary/Pine Hill Elementary,No,Unknown,No,12630326008163.pdf,Unknown,No,"['Resource Specialist', 'Professional Development', 'training', 'professional development', 'instruction', 'Small groups', 'RtI ']",No,['.1'],['74.0']
Jack Franscioni Elementary School/Jack Franscioni Elementary School,No,10.71,No,27754400111088.pdf,31.16,No,"['Instructional coaches', 'Instructional coach', 'Resource Specialist', 'Special Education', 'Professional Development', 'training', 'professional development', 'instruction', 'RtI ', 'Read 180']",No,['4.2'],['86.2']
Riverbend Elementary School/Riverbend Elementary School,No,99.09,No,51714640113134.pdf,45.59,No,"['Resource Specialist', 'Special Education', 'Professional Development', 'professional development', 'instruction', 'RtI ', 'Read 180']",No,['3.0'],['67.7']
Nueva Vista Language Academy,Yes,9.68,No,15634040120139.pdf,44.86,No,"['Resource Specialist', 'Special Education', 'Professional Development', 'professional development', 'workshops', 'instruction', 'AVID', 'AVID strategies', 'Screening', 'MTSS', 'RtI ', 'MTSS', 'AVID strategies ']",No,['2.0'],['85.3']
