School,Disabilities,File Name,Gen Ed,Resource Specialist,Socioeconomically Disadvantaged
Tyler Skills Elementary,2.04,/Users/georgiachanning/LA/SARC_tables/39686766042782_tables.txt,25.75,['.5'],['77.2']
Ripon Elementary School,7.69,/Users/georgiachanning/LA/SARC_tables/39686506042477_tables.txt,68.84,"['.1', '.1']",['44.5']
John Marshall Elementary,2.04,/Users/georgiachanning/LA/SARC_tables/39686760111310_tables.txt,15.69,['1.0'],['73.1']
Gallatin Elementary,18.18,/Users/georgiachanning/LA/SARC_tables/19644516012801_tables.txt,64.38,['1.5'],['59.3']
Hermosa Elementary School,29.27,/Users/georgiachanning/LA/SARC_tables/36675956104475_tables.txt,63.91,Unknown,['36.70']
River Oaks Elementary School,21.95,/Users/georgiachanning/LA/SARC_tables/34673486110654_tables.txt,57.14,Unknown,['60.5']
Isojiro Oka Elementary School,22.22,/Users/georgiachanning/LA/SARC_tables/30664986068605_tables.txt,69.55,Unknown,['27.7']
Binkley Elementary Charter School,16.00,/Users/georgiachanning/LA/SARC_tables/49708966085229_tables.txt,56.99,['.1'],['48.1']
Crest Elementary,Unknown,/Users/georgiachanning/LA/SARC_tables/37679916037600_tables.txt,Unknown,['.1'],['38.9']
Miller Creek Elementary School,47.22,/Users/georgiachanning/LA/SARC_tables/21653186024160_tables.txt,99.5,Unknown,['7.9']
North Country Elementary School,95.24,/Users/georgiachanning/LA/SARC_tables/34739736108948_tables.txt,46.41,Unknown,['70.6']
Fammatre Elementary School,35.14,/Users/georgiachanning/LA/SARC_tables/43693856046445_tables.txt,57.56,['1.4'],['15.4']
Merquin Elementary School,Unknown,/Users/georgiachanning/LA/SARC_tables/24656986025472_tables.txt,Unknown,"['.1', '.1']",['88.3']
/Users/georgiachanning/LA/SARC_tables/37683876111181_tables.txt,52.78,/Users/georgiachanning/LA/SARC_tables/37683876111181_tables.txt,85.58,Unknown,['10.1']
Cuyama Elementary,0.00,/Users/georgiachanning/LA/SARC_tables/42750106045389_tables.txt,37.00,Unknown,['80.4']
District Name Modesto City Elementary School District,98.17,/Users/georgiachanning/LA/SARC_tables/50711676052765_tables.txt,24.97,['.5'],['98.4']
Pivot Charter School North Bay,77.50,/Users/georgiachanning/LA/SARC_tables/49708390138065_tables.txt,40.00,"['5.3', '.1']",['53.5']
School Year NameJohn Reith Elementary rStreet8401 Valley Lark Dr rCity,5114.55,/Users/georgiachanning/LA/SARC_tables/ReithLong_tables.txt,5114.55,"['4.1', '10.26', '14.15', '29.32', '16.77']",['85.90']
Audubon Elementary,27.78,/Users/georgiachanning/LA/SARC_tables/41690396044812_tables.txt,74.49,['.3'],[]
39 Elementary School rWith Full Credential,14.29,/Users/georgiachanning/LA/SARC_tables/01611436090310_tables.txt,49.76,['5.2'],[]
27 Castle Rock Elementary School,27.27,/Users/georgiachanning/LA/SARC_tables/19734606023352_tables.txt,145.2,['1.7'],['22.3']
George B Miller Elementary School,100.00,/Users/georgiachanning/LA/SARC_tables/30664726027692_tables.txt,74.19,['1.0'],['38.6']
James Madison Elementary,15.79,/Users/georgiachanning/LA/SARC_tables/20652436023980_tables.txt,117.7,['1.0'],['94.5']
Elementary School,25.00,/Users/georgiachanning/LA/SARC_tables/10621176104624_tables.txt,162.8,['3.0'],['52.0']
Riverbend Elementary School,99.09,/Users/georgiachanning/LA/SARC_tables/51714640113134_tables.txt,45.59,['3.0'],['67.7']
Reagan Elementary School,90.00,/Users/georgiachanning/LA/SARC_tables/54719930123661_tables.txt,53.36,"['1.0', '.1']",['94.9']
Frontier Elementary School,100.00,/Users/georgiachanning/LA/SARC_tables/16639900116699_tables.txt,72.05,Unknown,['41.3']
Carmel Creek Elementary School,Unknown,/Users/georgiachanning/LA/SARC_tables/37683876112353_tables.txt,Unknown,Unknown,['6.6']
Burney Elementary School,8.00,/Users/georgiachanning/LA/SARC_tables/45699896050272_tables.txt,33.88,"['.5', '.1']",['71.0']
Hall Elementary,100.00,/Users/georgiachanning/LA/SARC_tables/37679916037741_tables.txt,28.52,['1.0'],['81.8']
Price Elementary School,22.41,/Users/georgiachanning/LA/SARC_tables/30664236027239_tables.txt,44.52,['5.0'],['77.8']
Park Village Elementary School,63.64,/Users/georgiachanning/LA/SARC_tables/37682966111314_tables.txt,87.34,['1.5'],['9.8']
Lampson Elementary School,96.30,/Users/georgiachanning/LA/SARC_tables/30666216029854_tables.txt,36.89,"['3.8', '.1']",['79.8']
Valle Vista Elementary School,31.03,/Users/georgiachanning/LA/SARC_tables/36676456035505_tables.txt,54.24,Unknown,['50.60']
Bridgeport Elementary,32.73,/Users/georgiachanning/LA/SARC_tables/19649986120257_tables.txt,74.06,Unknown,['15.1']
Piute Mountain Elementary School Caliente Unio,Unknown,/Users/georgiachanning/LA/SARC_tables/15633886104772_tables.txt,Unknown,['.1'],['69.4']
/Users/georgiachanning/LA/SARC_tables/49707220138248_tables.txt,10.34,/Users/georgiachanning/LA/SARC_tables/49707220138248_tables.txt,54.10,['1.0'],['78.9']
Sacramento City Unified School District Mission,1.75,/Users/georgiachanning/LA/SARC_tables/34674396059299_tables.txt,18.03,['4.7'],['94.8']
Elementary School District,30.77,/Users/georgiachanning/LA/SARC_tables/31668456031132_tables.txt,62.35,Unknown,['31.5']
